,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,month_sold,house_age
958,387000.0,2,2.25,1230,1280,2.0,0,0,3,960,270,2012,1912,801-921 Martin Luther King Jr Way S,Seattle,WA 98144,5,2
961,263000.0,3,1.75,1570,7775,2.0,0,0,3,1570,0,1982,0,9226 S 239th Pl,Kent,WA 98031,5,32
962,519900.0,4,2.0,1820,9350,1.0,0,0,4,1820,0,1967,0,2019 182nd Ave NE,Redmond,WA 98052,5,47
963,570000.0,2,1.75,1540,4025,1.0,0,0,4,1190,350,1908,0,1715 46th Ave SW,Seattle,WA 98116,5,106
966,300000.0,3,1.0,1090,9900,1.0,0,0,4,1090,0,1955,2009,13424 NE 80th St,Redmond,WA 98052,5,59
967,320000.0,3,1.75,1480,7225,1.0,0,0,4,1480,0,1965,0,2525 NE 24th St,Renton,WA 98056,5,49
968,387500.0,4,1.0,1320,4440,1.5,0,0,3,1320,0,1929,0,1505 29th Ave,Seattle,WA 98122,5,85
971,380000.0,4,3.0,2800,9764,2.0,0,0,3,2800,0,2002,0,24729 SE 276th Pl,Maple Valley,WA 98038,5,12
972,200000.0,3,1.0,1050,5000,1.0,0,0,4,1050,0,1967,0,602 Tacoma Ave NE,Renton,WA 98056,5,47
973,385000.0,3,1.5,1490,9630,1.0,0,0,4,1490,0,1959,0,6428 NE 184th St,Kenmore,WA 98028,5,55
974,396675.0,2,1.0,1730,6375,2.0,0,0,4,1730,0,1945,0,7358 28th Ave SW,Seattle,WA 98126,5,69
975,452000.0,4,1.0,1210,3760,1.5,0,0,3,1210,0,1900,2005,1106 N 80th St,Seattle,WA 98103,5,114
976,426000.0,4,2.5,2800,8494,2.0,0,0,3,2800,0,2004,2003,24957 SE 279th St,Maple Valley,WA 98038,5,10
977,792000.0,3,1.5,1570,1050,2.0,0,0,3,1570,0,1915,0,1833 1st Ave N,Seattle,WA 98109,5,99
981,268500.0,2,1.0,790,8424,1.0,0,0,4,790,0,1953,1983,556 N 167th St,Shoreline,WA 98133,5,61
982,440000.0,2,1.75,1300,4000,2.0,0,0,3,1300,0,1948,1994,5501 37th Ave NE,Seattle,WA 98105,5,66
983,300000.0,3,1.0,2120,7735,1.0,0,0,4,1060,1060,1967,0,12840 163rd Ave SE,Renton,WA 98059,5,47
984,525000.0,3,1.5,1540,4773,2.0,0,0,3,1540,0,1941,2009,4017 36th Ave SW,Seattle,WA 98126,5,73
985,978000.0,4,2.75,2620,13777,1.5,0,2,4,1720,900,1926,1993,2602 Shoreland Dr S,Seattle,WA 98144,5,88
987,700000.0,4,1.0,1680,4021,1.5,0,0,3,1680,0,1921,2000,2139 N 52nd St,Seattle,WA 98103,5,93
988,315000.0,2,1.0,790,6969,1.0,0,0,3,790,0,1955,1984,10830 132nd Ave NE,Redmond,WA 98052,5,59
989,309000.0,3,1.0,1092,7500,1.5,0,0,3,1092,0,1918,0,7757 15th Ave SW,Seattle,WA 98106,5,96
990,219950.0,3,1.5,1650,9936,1.0,0,0,3,1090,560,1967,2011,425 S 305th St,Federal Way,WA 98003,5,47
991,289000.0,3,2.5,2090,4700,2.0,0,0,3,2090,0,2002,0,17814 SE 257th St,Covington,WA 98042,5,12
993,260000.0,4,2.5,1990,6671,2.0,0,0,3,1990,0,1989,0,32819 17th Ave SW,Federal Way,WA 98023,5,25
994,699000.0,4,2.5,2650,7945,2.0,0,0,3,2650,0,2006,0,11332 30th Ave NE,Seattle,WA 98125,5,8
996,299950.0,3,1.0,910,8000,1.0,0,0,4,740,170,1950,1983,20013 15th Ave NW,Shoreline,WA 98177,5,64
997,749950.0,3,2.5,2770,10773,2.0,0,2,3,2770,0,1992,0,16420 SE 39th Pl,Bellevue,WA 98008,5,22
998,1100000.0,3,2.0,2390,6888,2.0,0,1,5,2390,0,1939,0,7529 Lakemont Dr NE,Seattle,WA 98115,5,75
1000,384000.0,3,2.5,1700,4000,2.0,0,0,3,1700,0,2003,0,35131 SE Ridge St,Snoqualmie,WA 98065,5,11
1002,430000.0,3,1.75,1200,4500,1.0,0,0,5,1200,0,1906,0,5206 13th Ave S,Seattle,WA 98108,5,108
1003,350000.0,4,2.25,2220,6953,2.0,0,0,4,2220,0,1999,0,22507 SE 279th St,Maple Valley,WA 98038,5,15
1004,620000.0,3,2.5,2480,9041,2.0,0,0,3,2480,0,2004,2003,8719 228th Way NE,Redmond,WA 98053,5,10
1005,765000.0,4,2.25,2560,12100,1.0,0,0,4,1760,800,1976,1992,17323 NE 24th St,Redmond,WA 98052,5,38
1006,250000.0,4,1.5,2500,6300,1.0,0,0,4,1500,1000,1961,2001,24911-24917 38th Ave S,Kent,WA 98032,5,53
1007,376000.0,2,1.0,1150,4000,1.0,0,0,3,1150,0,1947,2012,2825 W Elmore St,Seattle,WA 98199,5,67
1008,475000.0,4,1.75,1650,7775,1.0,0,0,4,1150,500,1950,1983,11726 Phinney Ave N,Seattle,WA 98133,5,64
1009,120750.0,3,1.75,1140,9628,1.0,0,0,4,1140,0,1969,0,34403 30th Ave SW,Federal Way,WA 98023,5,45
1012,619500.0,3,2.5,1700,4105,2.0,0,0,3,1700,0,1992,0,3113 E Cherry St,Seattle,WA 98122,5,22
1013,345000.0,3,1.5,1240,11200,1.0,0,0,4,1240,0,1954,1979,15154 SE Newport Way,Bellevue,WA 98006,5,60
1014,598000.0,5,2.25,2890,12478,2.0,0,0,3,2890,0,1977,2004,2116 Sahalee Dr E,Sammamish,WA 98074,5,37
1015,335000.0,3,1.0,1060,10050,1.0,0,0,4,1060,0,1967,0,8136 NE 147th Pl,Kenmore,WA 98028,5,47
1016,372500.0,4,1.75,1590,10523,2.0,0,0,4,1590,0,1922,0,14556 Stone Ave N,Shoreline,WA 98133,5,92
1019,507500.0,3,2.0,2020,8118,1.0,0,0,3,1020,1000,1963,2008,16630 SE 26th St,Bellevue,WA 98008,5,51
1020,325000.0,4,2.25,1870,9680,1.0,0,0,4,1170,700,1959,0,12813 81st Ave NE,Kirkland,WA 98034,5,55
1021,329900.0,3,2.5,2170,4905,2.0,0,0,3,2170,0,2004,2003,22639 SE 280th Pl,Maple Valley,WA 98038,5,10
1022,329000.0,4,2.5,1600,6765,1.0,0,0,3,830,770,1947,2011,6048 26th Ave SW,Seattle,WA 98106,5,67
1023,494000.0,4,1.75,2090,4300,1.5,0,0,4,1250,840,1925,1968,5011 SW Dawson St,Seattle,WA 98136,5,89
1024,206000.0,4,2.0,1700,6025,1.0,0,0,3,1700,0,1978,0,606 5th St SE,Auburn,WA 98002,5,36
1025,423000.0,4,1.75,1940,6909,1.0,0,0,4,970,970,1941,1998,11207 Evanston Ave N,Seattle,WA 98133,5,73
1026,259000.0,3,1.0,1320,8625,1.0,0,0,4,1320,0,1957,2001,2931 NE 5th Pl,Renton,WA 98056,5,57
1028,345600.0,5,3.5,2800,5120,2.5,0,0,3,2800,0,1903,2005,352 17th Ave,Seattle,WA 98122,5,111
1029,395000.0,3,1.5,1080,2940,1.5,0,0,4,1080,0,1920,0,7505 Ravenna Ave NE,Seattle,WA 98115,5,94
1032,380000.0,3,1.75,1690,1468,2.0,0,0,3,1380,310,2008,0,4355 Jill Pl S,Seattle,WA 98108,5,6
1033,440000.0,3,1.5,1270,1443,3.0,0,0,3,1270,0,2007,0,9608 Roosevelt Way NE,Seattle,WA 98115,5,7
1034,415000.0,3,2.25,1970,2377,2.0,0,0,3,1680,290,2008,0,4351 Jill Pl S,Seattle,WA 98108,5,6
1035,860000.0,4,2.75,3160,8097,2.0,0,0,3,3160,0,2014,0,13009 NE 74th St,Kirkland,WA 98033,5,0
1036,500000.0,3,2.5,1210,1200,3.0,0,0,3,1210,0,2008,0,3903 Woodland Park Ave N,Seattle,WA 98103,5,6
1037,953007.0,4,3.5,3120,5086,2.0,0,0,3,2480,640,2008,0,6511 37th Ave NE,Seattle,WA 98115,5,6
1038,515000.0,4,2.5,2670,8765,2.0,0,0,3,2670,0,2006,0,5407 NE 3rd Pl,Renton,WA 98059,5,8
1039,772000.0,3,2.25,1640,1204,3.0,0,0,3,1640,0,2014,0,122 27th Ave E,Seattle,WA 98112,5,0
1040,329995.0,4,2.5,2303,3680,2.0,0,0,3,2303,0,2013,1923,38068 41st Pl S,Auburn,WA 98001,5,1
1041,409316.0,3,2.5,1800,3168,2.0,0,0,3,1800,0,2014,0,7416 Better Way Loop SE,Snoqualmie,WA 98065,5,0
1043,305000.0,2,2.5,1590,2656,2.0,0,0,3,1220,370,2009,0,5937 Delridge Way SW,Seattle,WA 98106,5,5
1044,785000.0,4,3.5,3070,4684,2.0,0,0,3,2190,880,2009,0,2500-2556 NW Alpine Crest Way,Issaquah,WA 98027,5,5
1045,240000.0,2,1.75,1330,7200,1.0,0,0,3,1330,0,1993,0,17451 42nd Ln S,SeaTac,WA 98188,5,21
1046,325000.0,3,1.0,990,6750,1.0,0,0,4,990,0,1947,1988,11502 Corliss Ave N,Seattle,WA 98133,5,67
1047,535800.0,4,2.5,1900,5790,2.0,0,0,3,1900,0,1994,0,4136 258th Ave SE,Issaquah,WA 98029,5,20
1048,720000.0,3,2.5,2020,1159,3.0,0,3,3,2020,0,2000,0,208 N 45th St,Seattle,WA 98103,5,14
1049,374000.0,3,1.75,2000,9416,1.0,0,0,4,2000,0,1961,2001,12401 NE 108th Ln,Kirkland,WA 98033,5,53
1050,189650.0,2,1.75,1100,7600,1.0,0,0,3,1100,0,1980,0,1215 S 211th St,Des Moines,WA 98198,5,34
1053,1065000.0,2,1.75,1890,9466,2.0,0,0,3,1890,0,1987,2000,130 97th Ave NE,Bellevue,WA 98004,5,27
1054,199000.0,4,2.0,2030,8120,2.0,0,0,3,2030,0,1950,2005,11226 57th Ave S,Seattle,WA 98178,5,64
1055,195000.0,3,1.75,1380,7350,1.0,0,0,3,990,390,1981,2013,18600-18698 SE 259th Pl,Covington,WA 98042,5,33
1057,288400.0,3,2.25,1870,3230,2.0,0,0,3,1870,0,1997,0,3901 NE 5th Pl,Renton,WA 98056,5,17
1058,442000.0,4,2.25,2080,12007,1.0,0,0,4,1220,860,1979,0,1740 216th Pl NE,Sammamish,WA 98074,5,35
1059,619420.0,4,2.75,2450,14803,2.0,0,0,4,2450,0,1988,0,8537 135th Ave SE,Newcastle,WA 98059,5,26
1060,635000.0,4,2.25,2750,6180,1.0,0,0,4,1500,1250,1948,0,3821 39th Ave S,Seattle,WA 98118,5,66
1061,210000.0,3,1.0,1240,4842,1.0,0,0,4,1240,0,1916,0,9612-9618 Renton Ave S,Seattle,WA 98118,5,98
1062,512500.0,3,2.5,1900,7604,2.0,0,0,3,1900,0,1990,2009,11125 115th Ave NE,Kirkland,WA 98033,5,24
1063,567000.0,3,2.5,2540,6093,2.0,0,0,3,2540,0,1999,0,7913-7935 79th Way NE,Kirkland,WA 98034,5,15
1064,525000.0,3,2.75,2100,10362,2.0,0,0,3,1510,590,1998,2006,3 Ober Strasse,Snoqualmie Pass,WA 98068,5,16
1065,475000.0,4,2.0,1790,2250,1.0,0,2,4,840,950,1909,1989,1017 N 38th St,Seattle,WA 98103,5,105
1066,250000.0,3,2.0,1170,7258,1.0,0,0,3,1170,0,1984,0,29812 55th Pl S,Auburn,WA 98001,5,30
1067,220000.0,3,1.0,1060,9126,1.0,0,2,5,1060,0,1956,0,1122 Harding St,Enumclaw,WA 98022,5,58
1068,230000.0,5,2.0,1930,6120,1.5,0,0,3,1930,0,1941,1969,10645 2nd Ave SW,Seattle,WA 98146,5,73
1069,385500.0,3,2.0,1540,7947,1.0,0,0,3,1120,420,1961,2004,9215 NE 183rd St,Bothell,WA 98011,5,53
1070,895000.0,5,3.0,2876,13927,1.0,0,2,4,1970,906,1973,0,5558 W Mercer Way,Mercer Island,WA 98040,5,41
1071,368250.0,3,2.5,2150,7484,2.0,0,0,3,2150,0,1988,2000,932 223rd Pl NE,Sammamish,WA 98074,5,26
1072,249900.0,2,1.0,1140,5500,1.0,0,0,3,1140,0,1947,2012,9412 24th Ave SW,Seattle,WA 98106,5,67
1073,350000.0,3,1.5,980,7790,1.0,0,0,5,980,0,1969,0,9753 NE 127th Pl,Kirkland,WA 98034,5,45
1074,175000.0,3,1.75,1230,13056,1.0,0,0,4,1230,0,1962,0,31649-31799 44th Ave S,Auburn,WA 98001,5,52
1075,270000.0,3,1.75,1390,10905,1.0,0,0,3,860,530,1957,2000,5601-5605 21st Ave SW,Seattle,WA 98106,5,57
1076,495000.0,3,3.5,2380,6250,2.0,0,3,3,1670,710,1997,0,6521-6599 S Norfolk St,Seattle,WA 98118,5,17
1079,330000.0,3,1.0,1250,9126,1.0,0,0,3,1250,0,1969,2010,17510 194th Ave NE,Woodinville,WA 98077,5,45
1080,1003000.0,4,2.75,2290,6120,2.0,0,0,4,2170,120,1926,1993,124 NE 63rd St,Seattle,WA 98115,5,88
1081,299800.0,2,1.0,790,5240,1.0,0,0,4,790,0,1925,1968,8041-8299 Beacon Ave S,Seattle,WA 98118,5,89
1082,299900.0,3,2.5,2720,6014,2.0,0,0,3,2720,0,2002,0,29820 125th Pl SE,Auburn,WA 98092,5,12
1083,691000.0,4,2.75,2550,8632,1.0,0,0,3,1700,850,1972,2002,4118 107th Pl NE,Kirkland,WA 98033,5,42
1084,195000.0,2,1.0,1080,3899,1.0,0,0,4,1080,0,1972,0,24807 10th Ave S,Des Moines,WA 98198,5,42
1085,405000.0,3,1.75,2470,9620,1.0,0,1,4,1570,900,1962,0,1018 S 226th St,Des Moines,WA 98198,5,52
1086,360000.0,2,0.75,850,7710,1.0,0,2,5,550,300,1909,1988,2458 S Ferdinand St,Seattle,WA 98108,5,105
1087,256750.0,3,2.5,1990,8991,1.0,0,0,3,1570,420,1969,2010,23255 133rd Ave SE,Kent,WA 98042,5,45
1088,332500.0,3,2.25,1800,10500,2.0,0,0,3,1800,0,1995,0,23902 231st Pl SE,Maple Valley,WA 98038,5,19
1090,218000.0,3,1.0,1020,7874,1.0,0,0,3,1020,0,1956,2001,9455 8th Ave SW,Seattle,WA 98106,5,58
1092,589000.0,4,2.5,2910,5776,2.0,0,2,3,2910,0,1998,2006,6907 Fairway Ave SE,Snoqualmie,WA 98065,5,16
1093,255000.0,3,1.5,1060,9039,1.0,0,0,3,1060,0,1973,2013,19300 142nd Pl SE,Renton,WA 98058,5,41
1094,668750.0,4,2.5,2340,6420,1.0,0,2,3,1590,750,1964,2000,2148 NW 197th St,Shoreline,WA 98177,5,50
1095,344500.0,4,2.75,1800,5453,1.0,0,0,3,1050,750,2002,0,1816 Talbot Rd S,Renton,WA 98055,5,12
1096,452000.0,4,2.0,1660,6150,1.0,0,0,3,850,810,1945,2010,7308 28th Ave SW,Seattle,WA 98126,5,69
1099,535000.0,2,1.0,1030,4841,1.0,0,0,3,920,110,1939,1969,1317 N 79th St,Seattle,WA 98103,5,75
1101,430000.0,3,1.0,1150,3000,1.0,0,0,5,1150,0,1906,0,945 N 80th St,Seattle,WA 98103,5,108
1102,520000.0,4,2.5,3290,11446,2.0,0,0,3,3290,0,1992,0,8020 NE 153rd Pl,Kenmore,WA 98028,5,22
1104,450000.0,2,1.0,1200,4000,1.0,0,0,3,1070,130,1940,1996,3026 37th Ave SW,Seattle,WA 98126,5,74
1105,220000.0,4,2.5,2160,8005,2.0,0,0,3,2160,0,1993,0,767 Oakhurst Dr,Pacific,WA 98047,5,21
1106,525000.0,3,1.0,1450,4000,1.0,0,1,4,950,500,1948,0,5155 54th Ave S,Seattle,WA 98118,5,66
1108,540000.0,3,2.0,1470,1691,2.0,0,0,3,1000,470,2007,0,1032 NE 63rd St,Seattle,WA 98115,5,7
1109,600000.0,4,2.5,2360,5226,2.0,0,0,3,2360,0,2001,0,8410 NE 124th St,Kirkland,WA 98034,5,13
1110,600000.0,3,2.25,2230,9053,2.0,0,0,4,2230,0,1987,0,5718 147th Ave NE,Bellevue,WA 98007,5,27
1113,389999.0,3,2.25,1445,1471,2.0,0,0,3,1300,145,2003,0,206 Lingering Pine Dr NW,Issaquah,WA 98027,5,11
1114,285000.0,3,1.75,2380,6000,1.5,0,0,3,1320,1060,1935,1974,8723 S 117th St,Seattle,WA 98178,5,79
1115,744000.0,4,2.75,2830,13059,2.0,0,0,3,2830,0,1998,2006,26592 SE 15th St,Sammamish,WA 98075,5,16
1117,318989.0,4,2.25,2000,9000,1.0,0,0,4,2000,0,1978,2000,4231 SW 323rd St,Federal Way,WA 98023,5,36
1118,556000.0,3,2.25,2020,3600,2.0,0,0,3,2020,0,1998,2006,13031 NE 70th Dr,Kirkland,WA 98033,5,16
1119,275000.0,3,2.5,2030,6326,2.0,0,0,3,2030,0,1993,0,23418 SE 282nd Pl,Maple Valley,WA 98038,5,21
1120,430000.0,3,2.75,2550,11160,2.0,0,0,3,2550,0,1994,0,14540 5th Ave NE,Shoreline,WA 98155,5,20
1121,300000.0,2,1.0,970,13700,1.0,0,0,3,970,0,1949,1998,9807 22nd Ave SW,Seattle,WA 98106,5,65
1122,396450.0,3,1.75,1540,12446,1.0,0,0,5,1540,0,1967,0,1106-1128 Lewis Ln SE,Issaquah,WA 98027,5,47
1124,700000.0,4,3.25,2780,7875,2.0,0,0,3,2780,0,2006,0,543 N 138th St,Seattle,WA 98133,5,8
1126,655000.0,4,3.5,2350,13402,2.0,0,3,3,1670,680,1994,0,11221 NE 106th Pl,Kirkland,WA 98033,5,20
1129,413800.0,3,2.0,1440,4421,1.0,0,0,3,1440,0,2007,0,23571-23613 NE Twinberry Way,Redmond,WA 98053,5,7
1131,334990.0,4,2.5,2220,4228,2.0,0,0,3,2220,0,2014,0,11283-11399 5th Ave SW,Seattle,WA 98146,5,0
1134,1130000.0,4,3.25,3810,8519,1.0,0,1,3,2680,1130,2007,0,10022 NE 110th St,Kirkland,WA 98033,5,7
1135,556000.0,3,3.0,1960,1168,2.0,0,0,3,1600,360,2007,0,1150 NE Park Dr,Issaquah,WA 98029,5,7
1136,360000.0,3,2.5,1530,1131,3.0,0,0,3,1530,0,2009,0,933 N 97th St,Seattle,WA 98103,5,5
1138,324000.0,3,2.5,1750,7208,2.0,0,0,3,1750,0,1994,0,11201 SE 190th Pl,Renton,WA 98055,5,20
1141,180000.0,3,1.0,870,5330,1.0,0,0,3,870,0,1969,2014,19654 SE 260th St,Covington,WA 98042,5,45
1142,749000.0,4,2.5,2930,18199,2.0,0,0,3,2930,0,1998,2006,1645 219th Pl SE,Sammamish,WA 98075,5,16
1144,373500.0,2,1.0,800,3330,1.0,0,0,3,800,0,1918,0,108 NW 41st St,Seattle,WA 98107,5,96
1145,770000.0,4,2.5,2350,8001,2.0,0,0,4,2350,0,1987,0,14019 SE 61st Pl,Bellevue,WA 98006,5,27
1146,356000.0,2,1.75,1060,16470,1.0,0,0,3,1060,0,1977,2004,15523 187th Ave NE,Woodinville,WA 98072,5,37
1147,625000.0,3,1.75,2060,12558,1.0,0,0,4,1350,710,1984,0,6619 147th Ct NE,Redmond,WA 98052,5,30
1148,494400.0,2,1.75,1560,1750,1.0,0,0,4,780,780,1904,0,115 Blaine St,Seattle,WA 98109,5,110
1150,926300.0,3,1.5,1660,4800,2.0,0,0,3,1660,0,1907,1983,1814 1st Ave W,Seattle,WA 98119,5,107
1151,600000.0,3,1.75,1650,5100,1.0,0,0,5,1040,610,1908,0,547 NE 81st St,Seattle,WA 98115,5,106
1152,430000.0,4,3.0,3220,8936,2.0,0,0,3,2450,770,1990,2009,20301 96th Ave S,Kent,WA 98031,5,24
1153,307000.0,3,1.5,2320,7500,1.0,0,0,3,2320,0,1976,0,26905 NE Cherry St,Duvall,WA 98019,5,38
1154,604700.0,4,2.75,2750,14982,1.0,0,3,3,1720,1030,1981,2013,27318 10th Pl S,Des Moines,WA 98198,5,33
1155,219900.0,3,1.0,910,6000,1.0,0,0,2,910,0,1956,0,303 SW 108th St,Seattle,WA 98146,5,58
1156,270000.0,2,1.5,840,867,2.0,0,0,3,840,0,2005,0,9122 23rd Ave NE,Seattle,WA 98115,5,9
1157,432000.0,3,2.25,1470,1578,2.0,0,0,3,1090,380,2007,0,7202 California Ave SW,Seattle,WA 98136,5,7
1159,361000.0,3,1.0,1100,4046,1.5,0,4,4,1100,0,1922,0,28764 Redondo Beach Dr S,Des Moines,WA 98198,5,92
1160,249950.0,2,1.0,940,8532,1.0,0,0,4,940,0,1959,0,628 SW 136th St,Burien,WA 98166,5,55
1161,320000.0,3,2.0,1110,10500,1.0,0,0,5,1110,0,1978,0,17040 426th Ave SE,North Bend,WA 98045,5,36
1162,305000.0,4,1.75,2200,8100,1.5,0,0,5,1400,800,1942,0,12036 23rd Ave S,Seattle,WA 98168,5,72
1164,235750.0,2,1.0,740,11250,1.0,0,0,2,740,0,1938,0,11050 24th Pl SW,Seattle,WA 98146,5,76
1165,657000.0,4,1.75,2740,8520,1.0,0,2,3,1370,1370,1954,2005,5524 S Morgan St,Seattle,WA 98118,5,60
1166,385000.0,3,1.0,1250,7300,1.0,0,0,4,1250,0,1956,0,16204 SE 8th St,Bellevue,WA 98008,5,58
1167,389950.0,4,2.5,3140,8060,2.0,0,0,3,3140,0,1991,0,32800 7th Ave SW,Federal Way,WA 98023,5,23
1168,150000.0,2,1.0,820,10270,1.0,0,0,3,820,0,1954,2005,10218 Aqua Way S,Seattle,WA 98168,5,60
1169,254500.0,4,2.75,2570,7264,2.0,0,0,3,1720,850,1998,2006,1621 56th Ct SE,Auburn,WA 98092,5,16
1170,555000.0,4,2.25,2350,8140,1.0,0,0,4,1430,920,1977,0,15800 SE 50th St,Bellevue,WA 98006,5,37
1172,245000.0,4,2.0,1580,8000,1.0,0,0,3,1040,540,1967,2011,2306 S 284th Pl,Federal Way,WA 98003,5,47
1173,319950.0,2,1.0,1070,5824,1.0,0,2,5,1070,0,1949,0,7057 S Lakeridge Dr,Seattle,WA 98178,5,65
1174,337000.0,3,1.0,1070,6109,1.0,0,0,5,1070,0,1951,0,12551 Roosevelt Way NE,Seattle,WA 98125,5,63
1175,492000.0,4,2.0,1640,5000,2.0,0,0,3,1640,0,1907,1983,639 NW 52nd St,Seattle,WA 98107,5,107
1177,348580.0,3,1.0,1220,7876,1.0,0,0,3,1220,0,1966,1963,14405 105th Ave NE,Kirkland,WA 98034,5,48
1178,180000.0,2,1.0,1400,4500,1.0,0,0,3,900,500,1922,2008,309 Hardie Ave NW,Renton,WA 98057,5,92
1179,400000.0,3,1.0,1040,6250,1.0,0,0,3,1040,0,1942,1999,5440 42nd Ave SW,Seattle,WA 98136,5,72
1180,295000.0,4,2.0,980,10640,1.0,0,0,5,980,0,1978,0,17026 426th Ave SE,North Bend,WA 98045,5,36
1181,910000.0,4,3.25,3340,10890,1.5,0,0,3,2240,1100,1963,2000,15243 NE 71st Ct,Redmond,WA 98052,5,51
1183,431500.0,3,3.5,1900,1612,2.0,0,0,3,1430,470,2008,0,6527 41st Ave SW,Seattle,WA 98136,5,6
1184,180000.0,4,1.5,1740,7292,1.0,0,0,3,1020,720,1962,2003,13904 24th Ave S,SeaTac,WA 98168,5,52
1185,677000.0,3,2.0,2000,3207,1.0,0,0,4,1100,900,1916,0,1330 N Lucas Pl,Seattle,WA 98103,5,98
1187,635700.0,4,2.5,3240,13978,1.0,0,0,3,1860,1380,1977,2004,2069 211th Ave NE,Sammamish,WA 98074,5,37
1188,482000.0,5,2.25,2230,9600,1.0,0,0,3,1320,910,1978,0,16218 195th Pl NE,Woodinville,WA 98077,5,36
1189,168000.0,2,2.5,1160,2174,2.0,0,0,3,1160,0,1998,2006,8601-8633 26th Ave SW,Seattle,WA 98106,5,16
1190,805000.0,4,2.75,2410,6000,1.0,0,0,5,1410,1000,1950,0,3210 NW 58th St,Seattle,WA 98107,5,64
1191,398000.0,2,1.0,590,10945,1.5,0,0,3,590,0,1983,2009,29613-29615 232nd Ave SE,Black Diamond,WA 98010,5,31
1192,665000.0,4,2.5,2600,17388,2.0,0,0,3,2600,0,1996,0,14623 SE 82nd Ct,Newcastle,WA 98059,5,18
1193,592500.0,4,3.0,2170,8240,1.0,0,0,4,1370,800,1968,0,18504 NE 21st St,Redmond,WA 98052,5,46
1194,940000.0,4,2.75,2080,4000,1.5,0,0,3,2080,0,1912,2000,6042 Sycamore Ave NW,Seattle,WA 98107,5,102
1195,655000.0,4,2.5,2860,12394,2.0,0,0,3,2860,0,1999,0,2853 234th Ave SE,Sammamish,WA 98075,5,15
1196,622500.0,4,2.5,2980,8107,2.0,0,0,3,2980,0,2000,0,34823 Rhododendron Dr SE,Snoqualmie,WA 98065,5,14
1197,380000.0,2,2.5,1230,987,2.0,0,0,3,1060,170,2011,0,2031 S Washington St,Seattle,WA 98144,5,3
1198,648360.0,4,1.75,2260,7005,1.0,0,1,4,1130,1130,1947,1988,137 18th Ave,Kirkland,WA 98033,5,67
1199,432000.0,3,2.75,2200,14925,1.0,0,0,3,1100,1100,1982,0,21013 NE 60th Pl,Redmond,WA 98053,5,32
1200,1050000.0,4,2.5,3030,12590,1.5,0,0,4,3030,0,1988,0,3255 111th Ave SE,Bellevue,WA 98004,5,26
1201,353250.0,2,1.0,1060,1600,2.0,0,0,3,1060,0,1979,2014,1523 30th Ave S,Seattle,WA 98144,5,35
1203,320000.0,3,2.25,998,844,2.0,0,0,3,798,200,2007,0,820 NW 95th St,Seattle,WA 98117,5,7
1204,349900.0,4,2.5,2052,3723,2.0,0,0,3,2052,0,2014,0,35650 30th Ave S,Federal Way,WA 98003,5,0
1205,330000.0,4,3.5,3150,6202,2.0,0,0,3,3150,0,2005,0,22547 134th Pl SE,Kent,WA 98042,5,9
1206,408000.0,3,2.25,1950,7221,1.0,0,0,4,1950,0,2006,0,3742 S 192nd St,SeaTac,WA 98188,5,8
1207,321000.0,3,2.25,1347,1292,3.0,0,0,3,1347,0,2010,0,14007-14017 35th Ave NE,Seattle,WA 98125,5,4
1210,359000.0,3,1.5,1360,885,3.0,0,0,3,1360,0,2008,0,709 N 94th St,Seattle,WA 98103,5,6
1211,300000.0,5,2.5,2760,6000,2.0,0,0,3,2760,0,2006,0,843 S Rose St,Seattle,WA 98108,5,8
1212,380000.0,5,3.5,2420,4670,2.0,0,0,3,2420,0,2013,1923,8803 38th Ave S,Seattle,WA 98118,5,1
1213,660000.0,3,2.5,2450,4332,2.0,0,0,3,2450,0,2010,0,10741 242nd Pl NE,Redmond,WA 98053,5,4
1214,355000.0,3,2.25,1280,959,3.0,0,0,3,1280,0,2005,0,8526 Nesbit Ave N,Seattle,WA 98103,5,9
1215,259000.0,3,2.5,1550,3569,2.0,0,0,3,1550,0,2011,0,1506 51st St NE,Auburn,WA 98002,5,3
1217,430000.0,2,2.5,1520,1588,2.0,0,0,3,1240,280,2007,0,2310 15th Ave S,Seattle,WA 98144,5,7
1218,460000.0,3,1.0,1670,4005,1.5,0,0,4,1170,500,1939,1989,8030 18th Ave NW,Seattle,WA 98117,5,75
1220,782000.0,4,2.5,2380,9614,2.0,0,0,4,2380,0,1991,0,16810 SE 47th Way,Bellevue,WA 98006,5,23
1221,218000.0,3,1.0,960,9633,1.0,0,0,5,960,0,1982,0,506 Harmony Ln,Enumclaw,WA 98022,5,32
1222,325000.0,3,1.0,1920,6862,1.0,0,2,3,1120,800,1952,2008,4602 S Fletcher St,Seattle,WA 98118,5,62
1224,902000.0,4,2.25,2530,9200,1.0,0,0,5,1570,960,1976,0,4632 141st Ct SE,Bellevue,WA 98006,5,38
1226,662990.0,3,1.75,1240,3600,1.5,0,0,5,1240,0,1926,0,2552 57th Ave SW,Seattle,WA 98116,5,88
1227,225000.0,2,1.0,1300,11867,1.5,0,0,4,1300,0,1975,0,33023 SE 310th St,Ravensdale,WA 98051,5,39
